State/UT,District,Pincode,Tehsil/Block
Telangana,Adilabad,504273,Asifabad
Telangana,Adilabad,504293,Asifabad
Telangana,Adilabad,504307,Boath
Telangana,Adilabad,504001,Adilabad
Telangana,Adilabad,504251,Bellampalle
Telangana,Adilabad,504251,Luxettipet
Telangana,Adilabad,504309,Adilabad
Telangana,Adilabad,504201,Chennur
Telangana,Adilabad,504110,Nirmal
Telangana,Adilabad,504202,Khanapur
Telangana,Adilabad,504296,Sirpur (T)
Telangana,Adilabad,504231,Luxettipet
Telangana,Adilabad,504109,Nirmal
Telangana,Adilabad,504299,Kagaznagar
Telangana,Adilabad,504002,Adilabad
Telangana,Adilabad,504204,Chennur
Telangana,Adilabad,504312,Adilabad
Telangana,Adilabad,504313,Utnoor
Telangana,Adilabad,504101,Mudhole
Telangana,Adilabad,504299,Sirpur(T)
Telangana,Adilabad,504205,Luxettipet
Telangana,Adilabad,504203,Na
Telangana,Adilabad,504295,Asifabad
Telangana,Adilabad,504106,Nirmal
Telangana,Adilabad,504306,Nirmal
Telangana,Adilabad,504299,Sirpur (T)
Telangana,Adilabad,504296,Asifabad
Telangana,Adilabad,504304,Boath
Telangana,Adilabad,504103,Mudhole
Telangana,Adilabad,504308,Adilabad
Telangana,Adilabad,504311,Utnoor
Telangana,Adilabad,504272,Asifabad
Telangana,Adilabad,504323,Neradigonda
Telangana,Adilabad,504215,Luxettipet
Telangana,Adilabad,504103,Kubeer
Telangana,Adilabad,504346,Utnoor
Telangana,Adilabad,504201,Chennoor
Telangana,Adilabad,504310,Nirmal
Telangana,Adilabad,504294,Asifabad
Telangana,Adilabad,504202,Kaddam (Peddur)
Telangana,Adilabad,504302,Mancherial
Telangana,Adilabad,504206,Luxettipet
Telangana,Adilabad,504102,Mudhole
Telangana,Adilabad,504218,Luxettipet
Telangana,Adilabad,504207,Luxettipet
Telangana,Adilabad,504296,Kagaznagar
Telangana,Adilabad,504209,Luxettipet
Telangana,Adilabad,504104,Nirmal
Telangana,Adilabad,504292,Asifabad
Telangana,Adilabad,504297,Asifabad
Telangana,Adilabad,504219,Luxettipet
Telangana,Adilabad,504312,Tamsi
Telangana,Adilabad,504208,Mancherial
Telangana,Adilabad,504308,Boath
Telangana,Adilabad,504216,Chennur
Telangana,Adilabad,504214,Chennur
Telangana,Adilabad,504105,Nirmal
Telangana,Adilabad,504203,Khanapur
Telangana,Adilabad,504323,Nirmal
Telangana,Adilabad,504311,Sirpur
Telangana,Adilabad,504323,Boath
Telangana,Adilabad,504109,Mudhole
Telangana,Adilabad,504301,Mandamarri
Telangana,Adilabad,504309,Jainad
Telangana,Adilabad,504220,Luxettipet
Telangana,Adilabad,504103,Bhainsa
Telangana,Adilabad,504313,Sirpur
Telangana,Adilabad,504209,Mancherial
Telangana,Adilabad,504208,Luxettipet
Telangana,Adilabad,504231,Mandamarri
Telangana,Adilabad,504104,Lokeswaram
Telangana,Adilabad,504307,Bazarhathnoor
Telangana,Adilabad,504207,Mancherial
Telangana,Adilabad,504292,Sirpur (T)
Telangana,Adilabad,504273,Sirpur (T)
Telangana,Adilabad,504107,Mudhole
Telangana,Adilabad,504296,Bejjur
Telangana,Adilabad,504302,Luxettipet
Telangana,Adilabad,504303,Mancherial
Telangana,Adilabad,504293,Kerameri
Telangana,Adilabad,504311,Narnoor
Telangana,Adilabad,504272,Sirpur (T)
Telangana,Adilabad,504297,Tiryani
Telangana,Adilabad,504308,Utnoor
Telangana,Adilabad,504002,Bela
Telangana,Adilabad,504313,Jainoor
Telangana,Adilabad,504296,Sirpur(T)
Telangana,Adilabad,504295,Sirpur (T)
Telangana,Warangal,506144,Jangaon
Telangana,Warangal,506343,Mulug
Telangana,Warangal,506145,Narmitta
Telangana,Warangal,506169,Bhupalapalli
Telangana,Warangal,506355,Cherial
Telangana,Warangal,506366,Mogullapalli
Telangana,Warangal,506172,Mangapet
Telangana,Warangal,506342,Atmakur
Telangana,Warangal,506224,Narmetta
Telangana,Warangal,506223,Cherial
Telangana,Warangal,506221,Buchannapet
Telangana,Warangal,506371,Hasanparthy
Telangana,Warangal,506352,Mulug
Telangana,Warangal,506367,Narmetta
Telangana,Warangal,506303,Devaruppula
Telangana,Warangal,506223,Maddur
Telangana,Warangal,506244,Raghunathapalli
Telangana,Warangal,506224,Buchannapet
Telangana,Warangal,506244,Raghunathpalli
Telangana,Warangal,506003,Hanamkonda
Telangana,Warangal,506344,Tadvai
Telangana,Warangal,506345,Regonda
Telangana,Warangal,506367,Maddur
Telangana,Warangal,506003,Na
Telangana,Warangal,506015,Hasanparthy
Telangana,Warangal,506347,Tadvai
Telangana,Warangal,506349,Mulug
Telangana,Warangal,506252,Palakurthy
Telangana,Warangal,506172,Bachannapet
Telangana,Warangal,506345,Ghanpur (Mulug)
Telangana,Warangal,506344,Govindaraopet
Telangana,Warangal,506165,Eturunagaram
Telangana,Warangal,506301,Ghanpur Station
Telangana,Warangal,506170,Chityal
Telangana,Warangal,506356,Chityal
Telangana,Warangal,506303,Lingalaghanpur
Telangana,Warangal,506168,Ghanpur (Mulug)
Telangana,Warangal,506319,Na
Telangana,Warangal,506391,Parkal
Telangana,Warangal,506145,Ghanpur Station
Telangana,Warangal,506221,China Raman Cherla
Telangana,Warangal,506319,Regonda
Telangana,Warangal,506144,Ghanpur Stn
Telangana,Warangal,506223,Chiryal
Telangana,Warangal,506175,Jangaon
Telangana,Warangal,506011,Hanamkonda
Telangana,Warangal,506348,Regonda
Telangana,Warangal,506370,Hasanparthy
Telangana,Warangal,506302,Devaruppula
Telangana,Warangal,506144,Dharmasagar
Telangana,Warangal,506302,Devaruppala
Telangana,Warangal,506345,Ghanpur(M)
Telangana,Warangal,506142,Dharmasagar
Telangana,Warangal,506349,Shayampet
Telangana,Warangal,506356,Mogullapalli
Telangana,Warangal,506301,Ghanpur Stn
Telangana,Warangal,506004,Hanamkonda
Telangana,Warangal,506143,Zafargadh
Telangana,Warangal,506319,Shayampet
Telangana,Warangal,506143,Ghanpur Station
Telangana,Warangal,506169,Warangal
Telangana,Warangal,506170,Regonda
Telangana,Warangal,506168,Bhupalapalli
Telangana,Warangal,506201,Lingal Ghanpur
Telangana,Warangal,506168,Venkatapur
Telangana,Warangal,506165,Eturnagaram
Telangana,Warangal,506145,Ghanpur (Station)
Telangana,Warangal,506001,Hanamkonda
Telangana,Warangal,506175,Narmitta
Telangana,Warangal,506252,Ghanpur Stn
Telangana,Warangal,506244,Palakurthy
Telangana,Warangal,506151,Dharmasagar
Telangana,Warangal,506167,Jangaon
Telangana,Warangal,506201,Lingala Ghanpur
Telangana,Warangal,506201,Lingalaghanpur
Telangana,Warangal,506319,Parkal
Telangana,Warangal,506347,Govindaraopet
Telangana,Warangal,506003,Warangal
Telangana,Warangal,506343,Venkatapur
Telangana,Warangal,506303,Na
Telangana,Warangal,506303,Devaruppala
Telangana,Warangal,506303,Lingala Ghanpur
Telangana,Warangal,506170,Chelpur
Telangana,Warangal,506143,Zafargaddah
Telangana,Warangal,506252,Raghunathpalli
Telangana,Warangal,506224,Maddur
Telangana,Warangal,506302,Kodakandla
Telangana,Warangal,506168,Ghanpur(Mulug)
Telangana,Warangal,506345,Venkatapur
Telangana,Warangal,506342,Parkal
Telangana,Warangal,506223,Buchannapet
Telangana,Warangal,506344,Na
Telangana,Warangal,506142,Hanamkonda
Telangana,Warangal,506003,Dharmasagar
Telangana,Warangal,506145,Ghanpur Stn
Telangana,Warangal,506244,Narmetta
Telangana,Warangal,506349,Duggondi
Telangana,Warangal,506366,Mogullapally
Telangana,Warangal,506224,Cherial
Telangana,Warangal,506391,So
Telangana,Warangal,506009,Hanamkonda
Telangana,Warangal,506349,Nallabelli
Telangana,Warangal,506175,Narmetta
Telangana,Warangal,506224,Narmitta
Telangana,Warangal,506175,Lingala Ghanpur
Telangana,Warangal,506143,Ghanpur Stn
Telangana,Warangal,506349,Bhupalpalle
Telangana,Warangal,506244,Raghunathplli
Telangana,Warangal,506303,Devaruppal
Telangana,Warangal,506221,Jangaon
Telangana,Warangal,506165,Venkatapur
Telangana,Warangal,506164,Parkal
Telangana,Warangal,506201,Jangaon
Telangana,Warangal,506145,Dharmasagar
Telangana,Warangal,506244,Raghunathpalle
Telangana,Warangal,506345,Na
Telangana,Warangal,506344,Mogullapalle
Telangana,Warangal,506366,Parkal
Telangana,Warangal,506349,Nallbelli
Telangana,Warangal,506302,Palakurthy
Telangana,Warangal,506367,Narmitta
Telangana,Warangal,506143,Zafargadah
Telangana,Warangal,506370,Dharmasagar
Telangana,Warangal,506221,Narmetta
Telangana,Warangal,506352,Venkatapur
Telangana,Warangal,506366,Na
Telangana,Warangal,506003,Zaffargaddh
Telangana,Warangal,506370,Hanamkonda
Telangana,Warangal,506371,Hasanaparthy
Telangana,Karim Nagar,505445,Gangadhara
Telangana,Karim Nagar,505305,Yellareddipet
Telangana,Karim Nagar,505532,Gollapalli
Telangana,Karim Nagar,505330,Koratla
